Date,Post_ID,Media_Type,Caption,Likes,Comments,Saves,Reach,Impressions,Follower_Count,Engagement_Rate(%)
01-05-2024,P001,Image,Post about #launch,988,74,13,4484,5757,40000,2.66
02-05-2025,P002,Video,Post about #discount,347,11,9,536,1561,40012,0.89
03-05-2025,P003,Carousel_Album,Post about #newdrop,299,72,50,4930,5633,40022,0.93
04-05-2024,P004,Video,Post about #newdrop,390,26,69,3123,3743,40060,1.04
05-05-2025,P005,Carousel_Album,Post about #fashion,115,13,33,3788,4507,40076,0.32
06-05-2025,P006,Carousel_Album,Post about #launch,426,96,32,611,1562,40085,1.3
07-05-2024,P007,Image,Post about #bts,906,10,27,1372,1662,40072,2.29
08-05-2024,P008,Video,Post about #launch,135,31,62,1962,2132,40070,0.41
09-05-2024,P009,Video,Post about #bts,546,36,10,3780,4610,40104,1.45
10-05-2025,P010,Image,Post about #summer,155,26,65,4523,5816,40099,0.45
11-05-2024,P011,Image,Post about #fashion,783,45,25,2051,3453,40180,2.06
12-05-2025,P012,Video,Post about #newdrop,134,92,11,937,1049,40165,0.56
13-05-2024,P013,Image,Post about #vibes,636,73,72,3030,3638,40168,1.77
14-05-2025,P014,Carousel_Album,Post about #summer,466,45,10,3254,3896,40221,1.27
15-05-2025,P015,Carousel_Album,Post about #vibes,186,63,18,2500,2805,40266,0.62
16-05-2025,P016,Video,Post about #bts,949,80,21,2291,3230,40165,2.56
17-05-2023,P017,Carousel_Album,Post about #discount,637,14,61,634,1970,40288,1.62
18-05-2023,P018,Image,Post about #discount,283,81,52,2140,3569,40170,0.91
19-05-2023,P019,Image,Post about #summer,701,20,60,3011,4222,40216,1.79
20-05-2022,P020,Video,Post about #bts,402,21,44,1932,2915,40285,1.05
21-05-2023,P021,Carousel_Album,Post about #bts,809,45,40,4659,5924,40240,2.12
22-05-2022,P022,Video,Post about #launch,429,24,36,3738,5202,40378,1.12
23-05-2025,P023,Video,Post about #discount,921,19,67,2909,4375,40330,2.33
24-05-2025,P024,Image,Post about #launch,766,89,23,4604,4818,40437,2.11
25-05-2025,P025,Image,Post about #bts,387,18,8,4353,5560,40360,1
26-05-2022,P026,Image,Post about #bts,332,95,32,1169,1634,40475,1.05
27-02-2025,P027,Carousel_Album,Post about #vibes,155,58,47,2325,2528,40468,0.53
28-03-2025,P028,Video,Post about #fashion,471,47,45,3778,4275,40540,1.28
29-03-2025,P029,Video,Post about #summer,884,17,14,2861,3400,40476,2.23
30-05-2025,P030,Carousel_Album,Post about #fashion,521,85,17,4723,4923,40348,1.5
31-05-2025,P031,Image,Post about #newdrop,421,48,14,3479,3639,40450,1.16
01-06-2023,P032,Video,Post about #fashion,929,18,53,3255,4166,40558,2.33
02-06-2025,P033,Image,Post about #summer,621,89,52,836,2225,40384,1.76
03-06-2023,P034,Image,Post about #newdrop,632,39,29,836,1348,40561,1.65
04-06-2025,P035,Video,Post about #newdrop,344,68,71,1717,2888,40612,1.01
05-06-2025,P036,Image,Post about #fashion,299,68,24,3916,5122,40560,0.9
06-06-2025,P037,Image,Post about #vibes,279,19,14,2474,3887,40504,0.74
07-06-2025,P038,Image,Post about #newdrop,319,35,20,986,1286,40481,0.87
08-06-2025,P039,Image,Post about #newdrop,874,36,80,4403,5661,40570,2.24
09-06-2025,P040,Carousel_Album,Post about #vibes,139,14,34,1003,1985,40624,0.38
10-06-2025,P041,Video,Post about #fashion,749,39,47,832,1374,40400,1.95
11-06-2025,P042,Video,Post about #launch,196,28,74,4526,5634,40656,0.55
12-06-2025,P043,Image,Post about #fashion,767,80,28,3030,3833,40504,2.09
13-06-2025,P044,Carousel_Album,Post about #newdrop,182,58,11,3662,4815,40430,0.59
14-06-2025,P045,Video,Post about #newdrop,441,89,36,2153,2455,40792,1.3
15-06-2025,P046,Carousel_Album,Post about #vibes,338,62,47,789,1869,40855,0.98
16-06-2025,P047,Video,Post about #launch,952,71,76,4117,5222,40506,2.53
17-06-2025,P048,Video,Post about #vibes,336,54,55,2900,3321,40611,0.96
18-06-2025,P049,Carousel_Album,Post about #bts,490,96,57,3852,3968,40912,1.43
19-06-2025,P050,Video,Post about #summer,741,96,25,2340,3459,40833,2.05
20-06-2025,P051,Carousel_Album,Post about #fashion,232,37,6,4617,4877,40600,0.66
21-06-2025,P052,Image,Post about #summer,747,72,48,3660,3847,40663,2.01
22-06-2025,P053,Image,Post about #vibes,416,76,55,1248,2585,40728,1.21
23-06-2025,P054,Video,Post about #summer,229,20,11,1035,1157,41007,0.61
24-06-2025,P055,Carousel_Album,Post about #bts,474,48,23,1248,1889,40756,1.28
25-06-2025,P056,Carousel_Album,Post about #summer,676,99,67,4641,4979,40770,1.9
26-06-2025,P057,Video,Post about #discount,409,57,32,940,2072,40560,1.15
27-06-2025,P058,Video,Post about #discount,844,19,77,2826,3785,40969,2.11
28-06-2025,P059,Video,Post about #discount,211,51,76,572,1583,41044,0.64
29-06-2025,P060,Image,Post about #summer,160,62,5,2563,3268,40708,0.55
30-06-2025,P061,Carousel_Album,Post about #newdrop,394,47,5,1021,2481,41080,1.07
01-07-2025,P062,Image,Post about #discount,838,19,57,1755,2351,40976,2.09
02-07-2025,P063,Video,Post about #fashion,257,17,79,4155,5036,40682,0.67
03-07-2025,P064,Image,Post about #bts,349,91,66,3475,4851,40945,1.07
04-07-2025,P065,Image,Post about #launch,765,65,59,3362,4700,40960,2.03
05-07-2025,P066,Carousel_Album,Post about #fashion,537,73,43,3855,5031,41300,1.48
06-07-2025,P067,Carousel_Album,Post about #vibes,640,44,73,2426,3758,41254,1.66
07-07-2025,P068,Carousel_Album,Post about #fashion,212,79,18,4342,4834,41072,0.71
08-07-2025,P069,Video,Post about #bts,201,42,16,3026,3874,41360,0.59
09-07-2025,P070,Video,Post about #launch,875,32,38,3113,3244,41173,2.2
10-07-2025,P071,Carousel_Album,Post about #bts,423,20,68,4340,5784,41190,1.08
11-07-2025,P072,Video,Post about #newdrop,118,57,56,2347,3772,41207,0.42
12-07-2025,P073,Image,Post about #vibes,327,52,30,1643,2483,41368,0.92
13-07-2025,P074,Video,Post about #vibes,845,42,79,3224,4477,41314,2.15
14-07-2025,P075,Carousel_Album,Post about #vibes,201,45,28,4407,5794,40740,0.6
15-07-2025,P076,Carousel_Album,Post about #fashion,497,23,71,3521,4434,41125,1.26
16-07-2025,P077,Carousel_Album,Post about #fashion,208,38,25,1590,3074,40912,0.6
17-07-2025,P078,Image,Post about #launch,538,81,71,4401,5794,41155,1.5
18-07-2025,P079,Image,Post about #fashion,715,42,39,935,1982,41326,1.83
19-07-2025,P080,Video,Post about #bts,939,16,43,2630,3996,41501,2.3
20-07-2025,P081,Video,Post about #bts,314,69,41,1773,2305,41280,0.93
21-07-2025,P082,Image,Post about #summer,641,20,27,4945,5258,40972,1.61
22-07-2025,P083,Carousel_Album,Post about #newdrop,408,52,56,2487,3005,41476,1.11
23-07-2025,P084,Video,Post about #discount,773,82,24,3954,5085,41577,2.06
24-07-2025,P085,Image,Post about #summer,156,89,47,4396,4924,41260,0.59
25-07-2025,P086,Carousel_Album,Post about #newdrop,764,89,71,1600,2538,41700,2.05
26-07-2025,P087,Image,Post about #newdrop,214,30,6,3683,5148,40946,0.6
27-07-2025,P088,Image,Post about #vibes,119,72,77,2404,3128,41131,0.46
28-07-2025,P089,Image,Post about #launch,857,73,72,2738,3435,41408,2.25
29-07-2025,P090,Video,Post about #launch,996,36,40,4309,5051,41335,2.5
30-07-2025,P091,Carousel_Album,Post about #summer,370,19,79,1241,1595,41530,0.94
31-07-2025,P092,Image,Post about #fashion,243,28,80,1334,2200,41001,0.66
01-08-2025,P093,Video,Post about #discount,708,37,29,2044,2822,41012,1.82
02-08-2025,P094,Carousel_Album,Post about #summer,370,23,30,1758,2773,41860,0.94
03-08-2025,P095,Carousel_Album,Post about #summer,140,67,75,4610,4887,41504,0.5
04-08-2025,P096,Carousel_Album,Post about #discount,757,70,6,4936,5727,41615,1.99
05-08-2025,P097,Image,Post about #vibes,157,59,25,4932,5355,41056,0.53
06-08-2025,P098,Video,Post about #summer,744,98,70,4255,4407,41358,2.04
07-08-2025,P099,Carousel_Album,Post about #vibes,117,80,23,1949,3022,41078,0.48
08-08-2025,P100,Image,Post about #discount,993,89,64,1166,1840,41881,2.58
